               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.016969,           0.0085628,           0.0089664,             0.74381,              0.9289,             0.94561,             0.84681,           0.0050589,           0.0020333,           0.0048001,           0.0092179,           0.0092179,           0.0092179
                  81,            0.015243,           0.0082681,           0.0097478,             0.85091,             0.90468,             0.94937,             0.85438,           0.0051699,            0.002024,           0.0035601,            0.009208,            0.009208,            0.009208
                  82,            0.016715,           0.0084241,           0.0098348,             0.87617,             0.87714,             0.95547,              0.8584,           0.0054023,           0.0020032,           0.0034823,           0.0091981,           0.0091981,           0.0091981
                  83,            0.017001,             0.00839,           0.0094089,             0.87207,             0.91352,             0.95793,             0.85339,           0.0051387,           0.0020734,           0.0032974,           0.0091882,           0.0091882,           0.0091882
                  84,            0.015252,           0.0081578,           0.0085165,             0.85051,             0.95062,              0.9637,             0.86498,            0.005135,           0.0019202,           0.0034065,           0.0091783,           0.0091783,           0.0091783
                  85,            0.015563,           0.0083389,           0.0085137,             0.85931,             0.87372,             0.95176,             0.85078,           0.0052088,           0.0020715,           0.0039713,           0.0091684,           0.0091684,           0.0091684
                  86,            0.015978,           0.0084271,           0.0094403,             0.90853,             0.88369,             0.95828,             0.85647,            0.005508,           0.0022813,           0.0039781,           0.0091585,           0.0091585,           0.0091585
                  87,             0.01482,           0.0084599,           0.0083385,             0.80433,             0.89745,             0.94339,             0.83201,           0.0060044,           0.0020716,           0.0040609,           0.0091486,           0.0091486,           0.0091486
                  88,            0.016619,           0.0081087,           0.0089369,              0.8733,             0.91358,             0.95605,             0.85763,           0.0052838,           0.0019521,            0.003298,           0.0091387,           0.0091387,           0.0091387
                  89,            0.015879,           0.0081154,            0.011268,             0.67582,                   1,             0.94526,              0.8453,           0.0052368,           0.0021522,           0.0051658,           0.0091288,           0.0091288,           0.0091288
                  90,            0.016619,           0.0079895,           0.0096255,             0.91744,             0.86973,             0.95566,             0.84539,             0.00524,           0.0021253,           0.0030474,           0.0091189,           0.0091189,           0.0091189
                  91,            0.016072,           0.0079961,           0.0087178,             0.85602,             0.92886,             0.96026,             0.85081,           0.0053148,           0.0021804,           0.0032495,            0.009109,            0.009109,            0.009109
                  92,            0.016423,           0.0083566,           0.0082492,             0.86812,             0.92854,             0.96249,             0.85429,           0.0057134,           0.0019267,           0.0029866,           0.0090991,           0.0090991,           0.0090991
                  93,            0.015372,           0.0083854,           0.0095254,             0.89059,             0.90553,             0.96249,             0.84861,           0.0053422,           0.0018535,           0.0032582,           0.0090892,           0.0090892,           0.0090892
                  94,            0.016119,           0.0083644,           0.0093161,             0.87148,             0.92043,             0.95319,             0.85689,           0.0049723,           0.0018623,           0.0031608,           0.0090793,           0.0090793,           0.0090793
                  95,            0.015073,           0.0081632,           0.0091997,             0.78788,             0.95581,             0.95054,              0.8573,           0.0050909,           0.0019827,           0.0040406,           0.0090694,           0.0090694,           0.0090694
                  96,            0.017405,           0.0088553,           0.0090228,             0.87842,              0.9067,             0.95249,             0.85506,           0.0053749,           0.0019303,           0.0030122,           0.0090595,           0.0090595,           0.0090595
                  97,            0.015609,           0.0080704,           0.0079223,              0.8983,             0.89019,             0.94989,             0.85307,           0.0052159,           0.0019352,           0.0033238,           0.0090496,           0.0090496,           0.0090496
                  98,            0.016554,            0.008188,           0.0094109,             0.85439,             0.95062,             0.96419,             0.86616,           0.0052578,           0.0020069,           0.0032766,           0.0090397,           0.0090397,           0.0090397
                  99,            0.016043,           0.0079712,           0.0098179,              0.8878,             0.88699,             0.95326,             0.85819,           0.0058925,           0.0021792,           0.0035281,           0.0090298,           0.0090298,           0.0090298
                 100,            0.016405,           0.0085125,            0.010003,             0.79702,              0.9238,             0.94865,             0.84551,           0.0050001,           0.0019756,           0.0041167,           0.0090199,           0.0090199,           0.0090199
                 101,            0.015915,           0.0081099,           0.0098031,             0.87259,             0.89796,             0.94748,             0.84249,             0.00509,           0.0020434,           0.0030917,             0.00901,             0.00901,             0.00901
                 102,            0.015194,           0.0082575,            0.009439,             0.85859,             0.89063,              0.9423,             0.84527,            0.005288,           0.0019686,           0.0033656,           0.0090001,           0.0090001,           0.0090001
                 103,            0.016243,           0.0082461,           0.0091599,             0.87923,             0.89743,             0.95301,             0.86228,           0.0053625,           0.0020762,           0.0034053,           0.0089902,           0.0089902,           0.0089902
                 104,            0.014586,           0.0081326,           0.0090827,             0.86218,             0.93013,             0.95872,              0.8553,           0.0051409,           0.0020012,           0.0031824,           0.0089803,           0.0089803,           0.0089803
                 105,            0.015525,           0.0082194,           0.0095456,             0.85481,             0.92615,              0.9567,             0.86935,           0.0048687,           0.0018846,           0.0030831,           0.0089704,           0.0089704,           0.0089704
                 106,            0.016916,           0.0081452,           0.0079972,             0.84121,              0.9324,             0.95997,              0.8553,           0.0054752,           0.0020509,           0.0035125,           0.0089605,           0.0089605,           0.0089605
                 107,            0.016178,            0.008672,            0.010017,             0.84335,              0.9576,             0.95959,             0.85752,           0.0058098,           0.0021769,           0.0035692,           0.0089506,           0.0089506,           0.0089506
                 108,            0.014638,           0.0078599,           0.0090174,             0.85886,              0.9322,             0.96035,             0.86618,           0.0053123,           0.0020299,           0.0030456,           0.0089407,           0.0089407,           0.0089407
                 109,            0.016272,           0.0081517,           0.0090055,             0.85729,             0.94064,             0.95886,             0.86169,           0.0055401,           0.0019284,           0.0031518,           0.0089308,           0.0089308,           0.0089308
